,ID,MTS,AMOUNT,PRICE
0,264771765,1530625213620,-36.79102645,37.796
1,264771764,1530625213619,-32.5,37.797
2,264771763,1530625213617,-24.86733666,37.798
3,264771762,1530625213616,-10.84163689,37.798
4,264771746,1530625212834,-132.0,37.798
5,264771741,1530625211458,0.34407,37.874
6,264771740,1530625211456,1.77073,37.874
7,264771721,1530625207388,2.11469,37.876
8,264771714,1530625206509,-3.92014666,37.798
9,264771713,1530625206457,-7.79731555,37.798
10,264771712,1530625206300,-3.9009009,37.798
11,264771708,1530625205320,2.11458,37.878
12,264771515,1530625165920,-10.959,37.782
13,264771514,1530625165918,-14.041,37.804
14,264771466,1530625141970,2.42512126,37.866
15,264771465,1530625141968,0.6,37.866
16,264771417,1530625126359,-13.38493084,37.796
17,264771416,1530625126357,-6.61506916,37.796
18,264771407,1530625123525,-4.995,37.795
19,264771364,1530625115158,0.6,37.83
20,264771358,1530625114537,5.20518861,37.828
21,264771356,1530625114464,1.391,37.828
22,264771330,1530625113992,0.09781022,37.82
23,264771323,1530625113794,31.40218978,37.82
24,264771322,1530625113788,5.5828803,37.82
25,264771318,1530625113681,56.0176997,37.82
26,264771317,1530625113675,10.0,37.818
27,264771313,1530625113244,7.62100796,37.816
28,264771281,1530625111597,0.6,37.79
29,264771280,1530625111589,0.6,37.773
30,264771279,1530625111580,34.05537281,37.772
31,264771277,1530625111467,3.77445679,37.772
32,264771269,1530625111211,18.77464031,37.772
33,264771209,1530625103076,-10.0,37.7
34,264771159,1530625088402,-77.07040938,37.697
35,264771120,1530625080314,-0.5,37.697
36,264771098,1530625073942,-6.8282,37.697
37,264771066,1530625066460,-43.76062494,37.693
38,264771065,1530625066457,-0.6,37.714
39,264771064,1530625066451,-0.6,37.716
40,264771063,1530625066446,-25.0,37.717
41,264771062,1530625066444,-6.0,37.717
42,264771061,1530625066441,-2.12372,37.737
43,264771042,1530625060095,9.048,37.805
44,264771041,1530625060093,9.9,37.79
45,264771040,1530625060091,0.6,37.79
46,264771038,1530625060085,9.852,37.773
47,264771037,1530625060083,0.6,37.773
48,264770924,1530625042849,19.032,37.771
49,264770900,1530625040887,19.0325,37.772
50,264770899,1530625040733,-87.9431,37.688
51,264770898,1530625040731,-0.6,37.714
