,ID,MTS,AMOUNT,PRICE
0,264776354,1530626022408,-250.0,8.2219
1,264775950,1530625925989,3.0,8.2337
2,264775943,1530625925352,3.0,8.2295
3,264775750,1530625906809,3.0,8.2214
4,264775692,1530625899682,3.0,8.2122
5,264775572,1530625893668,62.2,8.206
6,264775536,1530625890442,23.31,8.2
7,264775534,1530625889986,76.69,8.2
8,264775533,1530625889983,3.0,8.1999
9,264774978,1530625779391,-5.6691,8.1927
10,264774875,1530625761739,-3.4016,8.1919
11,264774092,1530625651124,-11.0,8.1746
12,264774091,1530625651122,-6.9304043,8.1746
13,264774090,1530625651120,-15.0,8.1789
14,264774089,1530625651117,-3.0,8.1791
15,264774088,1530625651112,-15.84623781,8.18
16,264774087,1530625651110,-3.0,8.1838
17,264774086,1530625651104,-2.0,8.1842
18,264774085,1530625651101,-10.0,8.1897
19,264774084,1530625651099,-20.0,8.1912
20,264774083,1530625651094,-3.0,8.1955
21,264774082,1530625651089,-3.0,8.1961
22,264774081,1530625651083,-2.0,8.1974
23,264774080,1530625651080,-8.21477276,8.2
24,264774079,1530625651077,-8.21477276,8.2
25,264774078,1530625651074,-44.38835785,8.2
26,264774077,1530625651072,-8.21477276,8.2
27,264774076,1530625651069,-7.88579545,8.2005
28,264774075,1530625651066,-7.54488636,8.2011
29,264774074,1530625651063,-7.20397727,8.2016
30,264774073,1530625651060,-6.86306818,8.2021
31,264774072,1530625651051,-6.52215909,8.2026
32,264774071,1530625651048,-7.88579545,8.2026
33,264774070,1530625651045,-7.88579545,8.2026
34,264774069,1530625651043,-6.18125,8.2032
35,264774068,1530625651039,-5.84034091,8.2037
36,264774067,1530625651037,-5.49943182,8.2042
37,264774066,1530625651034,-5.15852273,8.2047
38,264774065,1530625651032,-4.81761363,8.2053
39,264774064,1530625651028,-7.54488636,8.2053
40,264774063,1530625651025,-7.54488636,8.2053
41,264774062,1530625651022,-4.47670454,8.2058
42,264774061,1530625651019,-4.13579545,8.2063
43,264774060,1530625651016,-3.79488636,8.2068
44,264774059,1530625651014,-3.45397727,8.2074
45,264774058,1530625651011,-3.11306818,8.2079
46,264774057,1530625651007,-7.20397727,8.2079
47,264774056,1530625651005,-7.20397727,8.2079
48,264774055,1530625651002,-2.77215909,8.2084
49,264774054,1530625650999,-3.0,8.2084
50,264774053,1530625650993,-2.43125,8.2089
51,264774052,1530625650990,-2.09034091,8.2095
52,264774051,1530625650987,-2.0,8.21
53,264774050,1530625650983,-6.86306818,8.2105
54,264774049,1530625650980,-6.86306818,8.2105
55,264774048,1530625650976,-2.0,8.2105
56,264774047,1530625650973,-91.41,8.2106
57,264773706,1530625603070,-91.41637988,8.2106
58,264773555,1530625579052,-67.55639722,8.2106
59,264773554,1530625579050,-6.52215909,8.2132
60,264773553,1530625579048,-6.18125,8.2158
61,264773552,1530625579045,-5.84034091,8.2184
62,264773551,1530625579042,-5.49943182,8.2211
63,264773547,1530625574582,26.41457904,8.2294
64,264773546,1530625574579,65.185,8.2217
65,264773429,1530625551159,4.81761363,8.2219
66,264773428,1530625551149,5.15852273,8.2219
67,264773426,1530625551117,2.0,8.2219
68,264773425,1530625551084,4.13579545,8.2219
69,264773424,1530625551081,4.47670454,8.2219
70,264773423,1530625551079,3.45397727,8.2219
71,264773422,1530625551077,2.43125,8.2219
72,264773421,1530625551066,2.77215909,8.2219
73,264773420,1530625551064,3.11306818,8.2219
74,264773419,1530625551062,1.88522727,8.2219
75,264773418,1530625551060,1.90965909,8.2218
76,264773417,1530625551057,2.09034091,8.2218
77,264771886,1530625266744,-2.0,8.2124
78,264771879,1530625258387,-2.0,8.2125
79,264771842,1530625244081,-10.52085201,8.2125
80,264771720,1530625207193,-87.0,8.2125
81,264771569,1530625178841,-197.0,8.2124
82,264771568,1530625178838,-3.0,8.2131
83,264771552,1530625174002,-97.6287851,8.2124
84,264771551,1530625173999,-3.0,8.2131
85,264771550,1530625173993,-6.52215909,8.2132
86,264771549,1530625173990,-10.0,8.2152
87,264771548,1530625173988,-6.18125,8.2158
88,264771547,1530625173984,-4.60530583,8.2172
89,264771546,1530625173982,-5.84034091,8.2184
90,264771545,1530625173979,-5.49943182,8.2211
91,264771544,1530625173976,-3.0,8.2214
92,264771543,1530625173970,-5.15852273,8.2237
93,264771542,1530625173967,-4.81761363,8.2263
94,264771541,1530625173964,-20.0,8.2264
95,264771540,1530625173960,-4.47670454,8.2289
96,264771539,1530625173957,-3.0,8.2295
97,264771538,1530625173951,-4.13579545,8.2316
98,264771537,1530625173948,-3.0,8.2337
99,264771536,1530625173941,-3.79488636,8.2342
0,264776354,1530626022408,-250.0,8.2219
0,264776354,1530626022408,-250.0,8.2219
0,264776354,1530626022408,-250.0,8.2219
0,264776354,1530626022408,-250.0,8.2219
0,264776354,1530626022408,-250.0,8.2219
0,264776354,1530626022408,-250.0,8.2219
0,264776354,1530626022408,-250.0,8.2219
0,264778238,1530626564688,3.2e-07,8.2436
1,264776354,1530626022408,-250.0,8.2219
0,264778238,1530626564688,3.2e-07,8.2436
0,264778238,1530626564688,3.2e-07,8.2436
0,264778238,1530626564688,3.2e-07,8.2436
0,264778238,1530626564688,3.2e-07,8.2436
0,264778238,1530626564688,3.2e-07,8.2436
0,264778992,1530626749381,-3.0,8.2461
1,264778974,1530626746326,-81.67111,8.2462
2,264778973,1530626746324,-5.6691,8.2462
3,264778966,1530626744688,134.11712308,8.2691
4,264778965,1530626744685,20.0,8.2628
5,264778964,1530626744682,3.0,8.2625
6,264778963,1530626744676,4.60070052,8.2624
7,264778962,1530626744674,3.0,8.2584
8,264778961,1530626744667,600.0,8.2583
9,264778960,1530626744656,84.32061257,8.2582
10,264778959,1530626744654,15.0,8.2504
11,264778958,1530626744651,3.0,8.2461
12,264778957,1530626744643,3.0,8.246
